Individual,Morph,Start  date,Event ,Cell,Date,Day,Sex,Clutch,Cohort
EA1,Littoral,19/03/2021,iridophores at second aggregation,Iridophore,19/03/2021,0,F,,a socialised_shallow
EA1,Littoral,19/03/2021,associations at second,Iridophore,19/03/2021,0,F,,a socialised_shallow
EA1,Littoral,19/03/2021,second aggregates ,Iridophore,19/03/2021,0,F,,a socialised_shallow
EA1,Littoral,19/03/2021,iridophores at 3rd aggregation ,Iridophore,, ,F,,a socialised_shallow
EA1,Littoral,19/03/2021,xanth/erythrophores accumulate at third,Xanthophore,, ,F,,a socialised_shallow
EA1,Littoral,19/03/2021,associations at third,Iridophore,, ,F,,a socialised_shallow
EA1,Littoral,19/03/2021,3rd aggregates,Iridophore,, ,F,,a socialised_shallow
EA1,Littoral,19/03/2021,first aggregation resolves,Iridophore,03/05/2021,45,F,,a socialised_shallow
EA1,Littoral,19/03/2021,second aggregation resolves,Iridophore,, ,F,,a socialised_shallow
EA1,Littoral,19/03/2021,third aggregation resolves,Iridophore,, ,F,,a socialised_shallow
EA1,Littoral,19/03/2021,compact 1st spot with defined ring,Xanthophore,TBD,45,F,,a socialised_shallow
EA1,Littoral,19/03/2021,compact second spot with defined ring,Xanthophore,TBD,45,F,,a socialised_shallow
EA1,Littoral,19/03/2021,compact third spot with defined ring,Xanthophore,TBD, ,F,,a socialised_shallow
EA3,Littoral,19/03/2021,xanthophores in fin,Xanthophore,19/03/2021,0,M,,a socialised_shallow
EA3,Littoral,19/03/2021,iridophores in fin,Iridophore,19/03/2021,0,M,,a socialised_shallow
EA3,Littoral,19/03/2021,iridophores 4-5,Iridophore,19/03/2021,0,M,,a socialised_shallow
EA3,Littoral,19/03/2021,associations 3-5,Iridophore,19/03/2021,0,M,,a socialised_shallow
EA3,Littoral,19/03/2021,first aggregates,Iridophore,19/03/2021,0,M,,a socialised_shallow
EA3,Littoral,19/03/2021,iridophores at second aggregation,Iridophore,24/03/2021,5,M,,a socialised_shallow
EA3,Littoral,19/03/2021,associations at second,Iridophore,03/04/2021,15,M,,a socialised_shallow
EA3,Littoral,19/03/2021,second aggregates ,Iridophore,23/04/2021,35,M,,a socialised_shallow
EA3,Littoral,19/03/2021,iridophores at 3rd aggregation ,Iridophore,23/04/2021,35,M,,a socialised_shallow
EA3,Littoral,19/03/2021,xanth/erythrophores accumulate at third,Xanthophore,, ,M,,a socialised_shallow
EA3,Littoral,19/03/2021,associations at third,Iridophore,23/04/2021,35,M,,a socialised_shallow
EA3,Littoral,19/03/2021,3rd aggregates,Iridophore,, ,M,,a socialised_shallow
EA3,Littoral,19/03/2021,first aggregation resolves,Iridophore,, ,M,,a socialised_shallow
EA3,Littoral,19/03/2021,second aggregation resolves,Iridophore,, ,M,,a socialised_shallow
EA3,Littoral,19/03/2021,third aggregation resolves,Iridophore,, ,M,,a socialised_shallow
EA3,Littoral,19/03/2021,compact 1st spot with defined ring,Xanthophore,TBD,45,M,,a socialised_shallow
EA3,Littoral,19/03/2021,compact second spot with defined ring,Xanthophore,TBD,45,M,,a socialised_shallow
EA3,Littoral,19/03/2021,compact third spot with defined ring,Xanthophore,TBD, ,M,,a socialised_shallow
EA5,Littoral,19/03/2021,xanthophores in fin,Xanthophore,19/03/2021,0,F,,a socialised_shallow
EA5,Littoral,19/03/2021,iridophores in fin,Iridophore,19/03/2021,0,F,,a socialised_shallow
EA5,Littoral,19/03/2021,iridophores 4-5,Iridophore,19/03/2021,0,F,,a socialised_shallow
EA5,Littoral,19/03/2021,associations 3-5,Iridophore,24/03/2021,5,F,,a socialised_shallow
EA5,Littoral,19/03/2021,first aggregates,Iridophore,29/03/2021,10,F,,a socialised_shallow
EA5,Littoral,19/03/2021,iridophores at second aggregation,Iridophore,19/03/2021,0,F,,a socialised_shallow
EA5,Littoral,19/03/2021,associations at second,Iridophore,24/03/2021,5,F,,a socialised_shallow
EA5,Littoral,19/03/2021,second aggregates ,Iridophore,13/04/2021,25,F,,a socialised_shallow
EA5,Littoral,19/03/2021,iridophores at 3rd aggregation ,Iridophore,08/04/2021,20,F,,a socialised_shallow
EA5,Littoral,19/03/2021,xanth/erythrophores accumulate at third,Xanthophore,19/03/2021,0,F,,a socialised_shallow
EA5,Littoral,19/03/2021,associations at third,Iridophore,18/04/2021,30,F,,a socialised_shallow
EA5,Littoral,19/03/2021,3rd aggregates,Iridophore,, ,F,,a socialised_shallow
EA5,Littoral,19/03/2021,first aggregation resolves,Iridophore,, ,F,,a socialised_shallow
EA5,Littoral,19/03/2021,second aggregation resolves,Iridophore,03/05/2021,45,F,,a socialised_shallow
EA5,Littoral,19/03/2021,third aggregation resolves,Iridophore,, ,F,,a socialised_shallow
EA5,Littoral,19/03/2021,compact 1st spot with defined ring,Xanthophore,TBD,45,F,,a socialised_shallow
EA5,Littoral,19/03/2021,compact second spot with defined ring,Xanthophore,TBD,45,F,,a socialised_shallow
EA5,Littoral,19/03/2021,compact third spot with defined ring,Xanthophore,TBD, ,F,,a socialised_shallow
EA2,Littoral,22/03/2021,xanthophores in fin,Xanthophore,22/03/2021,0,F,,a socialised_shallow
EA2,Littoral,22/03/2021,iridophores in fin,Iridophore,22/03/2021,0,F,,a socialised_shallow
EA2,Littoral,22/03/2021,iridophores 4-5,Iridophore,22/03/2021,0,F,,a socialised_shallow
EA2,Littoral,22/03/2021,associations 3-5,Iridophore,01/04/2021,10,F,,a socialised_shallow
EA2,Littoral,22/03/2021,first aggregates,Iridophore,06/04/2021,15,F,,a socialised_shallow
EA2,Littoral,22/03/2021,iridophores at second aggregation,Iridophore,29/03/2021,7,F,,a socialised_shallow
EA2,Littoral,22/03/2021,associations at second,Iridophore,06/05/2021,45,F,,a socialised_shallow
EA2,Littoral,22/03/2021,second aggregates ,Iridophore,, ,F,,a socialised_shallow
EA2,Littoral,22/03/2021,iridophores at 3rd aggregation ,Iridophore,26/04/2021,35,F,,a socialised_shallow
EA2,Littoral,22/03/2021,xanth/erythrophores accumulate at third,Xanthophore,, ,F,,a socialised_shallow
EA2,Littoral,22/03/2021,associations at third,Iridophore,01/05/2021,40,F,,a socialised_shallow
EA2,Littoral,22/03/2021,3rd aggregates,Iridophore,, ,F,,a socialised_shallow
EA2,Littoral,22/03/2021,first aggregation resolves,Iridophore,, ,F,,a socialised_shallow
EA2,Littoral,22/03/2021,second aggregation resolves,Iridophore,, ,F,,a socialised_shallow
EA2,Littoral,22/03/2021,third aggregation resolves,Iridophore,, ,F,,a socialised_shallow
EA2,Littoral,22/03/2021,compact 1st spot with defined ring,Xanthophore,, ,F,,a socialised_shallow
EA2,Littoral,22/03/2021,compact second spot with defined ring,Xanthophore,, ,F,,a socialised_shallow
EA2,Littoral,22/03/2021,compact third spot with defined ring,Xanthophore,, ,F,,a socialised_shallow
EA4,Littoral,22/03/2021,xanthophores in fin,Xanthophore,22/03/2021,0,M,,a socialised_shallow
EA4,Littoral,22/03/2021,iridophores in fin,Iridophore,22/03/2021,0,M,,a socialised_shallow
EA4,Littoral,22/03/2021,iridophores 4-5,Iridophore,22/03/2021,0,M,,a socialised_shallow
EA4,Littoral,22/03/2021,associations 3-5,Iridophore,22/03/2021,0,M,,a socialised_shallow
EA4,Littoral,22/03/2021,first aggregates,Iridophore,27/03/2021,5,M,,a socialised_shallow
EA4,Littoral,22/03/2021,iridophores at second aggregation,Iridophore,22/03/2021,0,M,,a socialised_shallow
EA4,Littoral,22/03/2021,associations at second,Iridophore,22/03/2021,0,M,,a socialised_shallow
EA4,Littoral,22/03/2021,second aggregates ,Iridophore,27/03/2021,5,M,,a socialised_shallow
EA4,Littoral,22/03/2021,iridophores at 3rd aggregation ,Iridophore,01/04/2021,10,M,,a socialised_shallow
EA4,Littoral,22/03/2021,xanth/erythrophores accumulate at third,Xanthophore,01/04/2021,10,M,,a socialised_shallow
EA4,Littoral,22/03/2021,associations at third,Iridophore,06/04/2021,15,M,,a socialised_shallow
EA4,Littoral,22/03/2021,3rd aggregates,Iridophore,06/04/2021,15,M,,a socialised_shallow
EA4,Littoral,22/03/2021,first aggregation resolves,Iridophore,, ,M,,a socialised_shallow
EA4,Littoral,22/03/2021,second aggregation resolves,Iridophore,, ,M,,a socialised_shallow
EA4,Littoral,22/03/2021,third aggregation resolves,Iridophore,, ,M,,a socialised_shallow
EA4,Littoral,22/03/2021,compact 1st spot with defined ring,Xanthophore,26/04/2021,35,M,,a socialised_shallow
EA4,Littoral,22/03/2021,compact second spot with defined ring,Xanthophore,26/04/2021,35,M,,a socialised_shallow
EA4,Littoral,22/03/2021,compact third spot with defined ring,Xanthophore,01/05/2021,40,M,,a socialised_shallow
EA6,Littoral,22/03/2021,xanthophores in fin,Xanthophore,22/03/2021,0,M,,a socialised_shallow
EA6,Littoral,22/03/2021,iridophores in fin,Iridophore,22/03/2021,0,M,,a socialised_shallow
EA6,Littoral,22/03/2021,iridophores 4-5,Iridophore,22/03/2021,0,M,,a socialised_shallow
EA6,Littoral,22/03/2021,associations 3-5,Iridophore,22/03/2021,0,M,,a socialised_shallow
EA6,Littoral,22/03/2021,first aggregates,Iridophore,22/03/2021,0,M,,a socialised_shallow
EA6,Littoral,22/03/2021,iridophores at second aggregation,Iridophore,22/03/2021,0,M,,a socialised_shallow
EA6,Littoral,22/03/2021,associations at second,Iridophore,22/03/2021,0,M,,a socialised_shallow
EA6,Littoral,22/03/2021,second aggregates ,Iridophore,27/03/2021,5,M,,a socialised_shallow
EA6,Littoral,22/03/2021,iridophores at 3rd aggregation ,Iridophore,22/03/2021,0,M,,a socialised_shallow
EA6,Littoral,22/03/2021,xanth/erythrophores accumulate at third,Xanthophore,, ,M,,a socialised_shallow
EA6,Littoral,22/03/2021,associations at third,Iridophore,27/03/2021,5,M,,a socialised_shallow
EA6,Littoral,22/03/2021,3rd aggregates,Iridophore,27/03/2021,5,M,,a socialised_shallow
EA6,Littoral,22/03/2021,first aggregation resolves,Iridophore,21/04/2021,30,M,,a socialised_shallow
EA6,Littoral,22/03/2021,second aggregation resolves,Iridophore,21/04/2021,30,M,,a socialised_shallow
EA6,Littoral,22/03/2021,third aggregation resolves,Iridophore,, ,M,,a socialised_shallow
EA6,Littoral,22/03/2021,compact 1st spot with defined ring,Xanthophore,, ,M,,a socialised_shallow
EA6,Littoral,22/03/2021,compact second spot with defined ring,Xanthophore,, ,M,,a socialised_shallow
EA6,Littoral,22/03/2021,compact third spot with defined ring,Xanthophore,21/04/2021,30,M,,a socialised_shallow
A2,Littoral,22/03/2021,xanthophores in fin,Xanthophore,22/03/2021,0,F,,a socialised_shallow
A2,Littoral,22/03/2021,iridophores in fin,Iridophore,22/03/2021,0,F,,a socialised_shallow
A2,Littoral,22/03/2021,iridophores 4-5,Iridophore,22/03/2021,0,F,,a socialised_shallow
A2,Littoral,22/03/2021,associations 3-5,Iridophore,22/03/2021,0,F,,a socialised_shallow
A2,Littoral,22/03/2021,first aggregates,Iridophore,22/03/2021,0,F,,a socialised_shallow
A2,Littoral,22/03/2021,iridophores at second aggregation,Iridophore,22/03/2021,0,F,,a socialised_shallow
A2,Littoral,22/03/2021,associations at second,Iridophore,27/03/2021,5,F,,a socialised_shallow
A2,Littoral,22/03/2021,second aggregates ,Iridophore,11/04/2021,20,F,,a socialised_shallow
A2,Littoral,22/03/2021,iridophores at 3rd aggregation ,Iridophore,01/04/2021,10,F,,a socialised_shallow
A2,Littoral,22/03/2021,xanth/erythrophores accumulate at third,Xanthophore,, ,F,,a socialised_shallow
A2,Littoral,22/03/2021,associations at third,Iridophore,06/04/2021,15,F,,a socialised_shallow
A2,Littoral,22/03/2021,3rd aggregates,Iridophore,11/04/2021,20,F,,a socialised_shallow
A2,Littoral,22/03/2021,first aggregation resolves,Iridophore,, ,F,,a socialised_shallow
A2,Littoral,22/03/2021,second aggregation resolves,Iridophore,, ,F,,a socialised_shallow
A2,Littoral,22/03/2021,third aggregation resolves,Iridophore,, ,F,,a socialised_shallow
A2,Littoral,22/03/2021,compact 1st spot with defined ring,Xanthophore,, ,F,,a socialised_shallow
A2,Littoral,22/03/2021,compact second spot with defined ring,Xanthophore,, ,F,,a socialised_shallow
A2,Littoral,22/03/2021,compact third spot with defined ring,Xanthophore,, ,F,,a socialised_shallow
A4,Littoral,22/03/2021,xanthophores in fin,Xanthophore,22/03/2021,0,M,,a socialised_shallow
A4,Littoral,22/03/2021,iridophores in fin,Iridophore,22/03/2021,0,M,,a socialised_shallow
A4,Littoral,22/03/2021,iridophores 4-5,Iridophore,22/03/2021,0,M,,a socialised_shallow
A4,Littoral,22/03/2021,associations 3-5,Iridophore,22/03/2021,0,M,,a socialised_shallow
A4,Littoral,22/03/2021,first aggregates,Iridophore,22/03/2021,0,M,,a socialised_shallow
A4,Littoral,22/03/2021,iridophores at second aggregation,Iridophore,22/03/2021,0,M,,a socialised_shallow
A4,Littoral,22/03/2021,associations at second,Iridophore,22/03/2021,0,M,,a socialised_shallow
A4,Littoral,22/03/2021,second aggregates ,Iridophore,22/03/2021,0,M,,a socialised_shallow
A4,Littoral,22/03/2021,iridophores at 3rd aggregation ,Iridophore,22/03/2021,0,M,,a socialised_shallow
A4,Littoral,22/03/2021,xanth/erythrophores accumulate at third,Xanthophore,22/03/2021,0,M,,a socialised_shallow
A4,Littoral,22/03/2021,associations at third,Iridophore,27/03/2021,5,M,,a socialised_shallow
A4,Littoral,22/03/2021,3rd aggregates,Iridophore,27/03/2021,5,M,,a socialised_shallow
A4,Littoral,22/03/2021,first aggregation resolves,Iridophore,, ,M,,a socialised_shallow
A4,Littoral,22/03/2021,second aggregation resolves,Iridophore,11/04/2021,20,M,,a socialised_shallow
A4,Littoral,22/03/2021,third aggregation resolves,Iridophore,21/04/2021,30,M,,a socialised_shallow
A4,Littoral,22/03/2021,compact 1st spot with defined ring,Xanthophore,21/04/2021,30,M,,a socialised_shallow
A4,Littoral,22/03/2021,compact second spot with defined ring,Xanthophore,26/04/2021,35,M,,a socialised_shallow
A4,Littoral,22/03/2021,compact third spot with defined ring,Xanthophore,01/05/2021,40,M,,a socialised_shallow
A6,Littoral,22/03/2021,xanthophores in fin,Xanthophore,22/03/2021,0,M,,a socialised_shallow
A6,Littoral,22/03/2021,iridophores in fin,Iridophore,22/03/2021,0,M,,a socialised_shallow
A6,Littoral,22/03/2021,iridophores 4-5,Iridophore,22/03/2021,0,M,,a socialised_shallow
A6,Littoral,22/03/2021,associations 3-5,Iridophore,22/03/2021,0,M,,a socialised_shallow
A6,Littoral,22/03/2021,first aggregates,Iridophore,22/03/2021,0,M,,a socialised_shallow
A6,Littoral,22/03/2021,iridophores at second aggregation,Iridophore,22/03/2021,0,M,,a socialised_shallow
A6,Littoral,22/03/2021,associations at second,Iridophore,22/03/2021,0,M,,a socialised_shallow
A6,Littoral,22/03/2021,second aggregates ,Iridophore,22/03/2021,0,M,,a socialised_shallow
A6,Littoral,22/03/2021,iridophores at 3rd aggregation ,Iridophore,, ,M,,a socialised_shallow
A6,Littoral,22/03/2021,xanth/erythrophores accumulate at third,Xanthophore,, ,M,,a socialised_shallow
A6,Littoral,22/03/2021,associations at third,Iridophore,01/05/2021,40,M,,a socialised_shallow
A6,Littoral,22/03/2021,3rd aggregates,Iridophore,, ,M,,a socialised_shallow
A6,Littoral,22/03/2021,first aggregation resolves,Iridophore,01/04/2021,10,M,,a socialised_shallow
A6,Littoral,22/03/2021,second aggregation resolves,Iridophore,01/04/2021,10,M,,a socialised_shallow
A6,Littoral,22/03/2021,third aggregation resolves,Iridophore,, ,M,,a socialised_shallow
A6,Littoral,22/03/2021,compact 1st spot with defined ring,Xanthophore,06/05/2021,45,M,,a socialised_shallow
A6,Littoral,22/03/2021,compact second spot with defined ring,Xanthophore,06/05/2021,45,M,,a socialised_shallow
A6,Littoral,22/03/2021,compact third spot with defined ring,Xanthophore,, ,M,,a socialised_shallow
FSL 1,Littoral,13/08/2021,xanthophores in fin,Xanthophore,13/08/2021,0,M,,c yolk_shallow
FSL 1,Littoral,13/08/2021,iridophores in fin,Iridophores,16/08/2021,3,M,,c yolk_shallow
FSL 1,Littoral,13/08/2021,iridophores 4-5,Iridophores,19/08/2021,6,M,,c yolk_shallow
FSL 1,Littoral,13/08/2021,associations 3-5,Iridophores,27/08/2021,14,M,,c yolk_shallow
FSL 1,Littoral,13/08/2021,iridophores aggregate 3-5,Iridophores,11/09/2021,29,M,,c yolk_shallow
FSL 1,Littoral,13/08/2021,iridophores 5-6,Iridophores,,,M,,c yolk_shallow
FSL 1,Littoral,13/08/2021,dot xanthophores beyond 4,Xanthophore,,,M,,c yolk_shallow
FSL 1,Littoral,13/08/2021,iridophores at 7,Iridophores,22/08/2021,9,M,,c yolk_shallow
FSL 1,Littoral,13/08/2021,iridophores at next (temp) aggregation,Iridophores,11/09/2021,29,M,,c yolk_shallow
FSL 1,Littoral,13/08/2021,iridophores at site of end second aggregation ,Iridophores,11/09/2021,29,M,,c yolk_shallow
FSL 1,Littoral,13/08/2021,associations end second aggregation,Iridophores,01/10/2021,49,M,,c yolk_shallow
FSL 1,Littoral,13/08/2021,iridophores aggregate at end second aggregation ,Iridophores,01/10/2021,49,M,,c yolk_shallow
FSL 1,Littoral,13/08/2021,dot xanthophores accumulate at site of end second aggregation,Xanthophore,11/09/2021,29,M,,c yolk_shallow
FSL 2,Littoral,13/08/2021,xanthophores in fin,Xanthophore,13/08/2021,0,M,,c yolk_shallow
FSL 2,Littoral,13/08/2021,iridophores in fin,Iridophores,16/08/2021,3,M,,c yolk_shallow
FSL 2,Littoral,13/08/2021,iridophores 4-5,Iridophores,19/08/2021,6,M,,c yolk_shallow
FSL 2,Littoral,13/08/2021,associations 3-5,Iridophores,22/08/2021,9,M,,c yolk_shallow
FSL 2,Littoral,13/08/2021,iridophores aggregate 3-5,Iridophores,27/08/2021,14,M,,c yolk_shallow
FSL 2,Littoral,13/08/2021,iridophores 5-6,Iridophores,,,M,,c yolk_shallow
FSL 2,Littoral,13/08/2021,dot xanthophores beyond 4,Xanthophore,,,M,,c yolk_shallow
FSL 2,Littoral,13/08/2021,iridophores at 7,Iridophores,22/08/2021,9,M,,c yolk_shallow
FSL 2,Littoral,13/08/2021,iridophores at next (temp) aggregation,Iridophores,01/09/2021,19,M,,c yolk_shallow
FSL 2,Littoral,13/08/2021,iridophores at site of end second aggregation ,Iridophores,01/09/2021,19,M,,c yolk_shallow
FSL 2,Littoral,13/08/2021,associations end second aggregation,Iridophores,11/09/2021,29,M,,c yolk_shallow
FSL 2,Littoral,13/08/2021,iridophores aggregate at end second aggregation ,Iridophores,21/09/2021,39,M,,c yolk_shallow
FSL 2,Littoral,13/08/2021,dot xanthophores accumulate at site of end second aggregation,Xanthophore,,,M,,c yolk_shallow
FSL 3,Littoral,13/08/2021,xanthophores in fin,Xanthophore,13/08/2021,0,M,,c yolk_shallow
FSL 3,Littoral,13/08/2021,iridophores in fin,Iridophores,16/08/2021,3,M,,c yolk_shallow
FSL 3,Littoral,13/08/2021,iridophores 4-5,Iridophores,19/08/2021,6,M,,c yolk_shallow
FSL 3,Littoral,13/08/2021,associations 3-5,Iridophores,22/08/2021,9,M,,c yolk_shallow
FSL 3,Littoral,13/08/2021,iridophores aggregate 3-5,Iridophores,27/08/2021,14,M,,c yolk_shallow
FSL 3,Littoral,13/08/2021,iridophores 5-6,Iridophores,,,M,,c yolk_shallow
FSL 3,Littoral,13/08/2021,dot xanthophores beyond 4,Xanthophore,,,M,,c yolk_shallow
FSL 3,Littoral,13/08/2021,iridophores at 7,Iridophores,,,M,,c yolk_shallow
FSL 3,Littoral,13/08/2021,iridophores at next (temp) aggregation,Iridophores,01/09/2021,19,M,,c yolk_shallow
FSL 3,Littoral,13/08/2021,iridophores at site of end second aggregation ,Iridophores,01/09/2021,19,M,,c yolk_shallow
FSL 3,Littoral,13/08/2021,associations end second aggregation,Iridophores,11/09/2021,29,M,,c yolk_shallow
FSL 3,Littoral,13/08/2021,iridophores aggregate at end second aggregation ,Iridophores,11/09/2021,29,M,,c yolk_shallow
FSL 3,Littoral,13/08/2021,dot xanthophores accumulate at site of end second aggregation,Xanthophore,11/09/2021,29,M,,c yolk_shallow
FSL 4,Littoral,13/08/2021,xanthophores in fin,Xanthophore,13/08/2021,0,F,,c yolk_shallow
FSL 4,Littoral,13/08/2021,iridophores in fin,Iridophores,13/08/2021,0,F,,c yolk_shallow
FSL 4,Littoral,13/08/2021,iridophores 4-5,Iridophores,19/08/2021,6,F,,c yolk_shallow
FSL 4,Littoral,13/08/2021,associations 3-5,Iridophores,06/09/2021,24,F,,c yolk_shallow
FSL 4,Littoral,13/08/2021,iridophores aggregate 3-5,Iridophores,06/09/2021,24,F,,c yolk_shallow
FSL 4,Littoral,13/08/2021,iridophores 5-6,Iridophores,,,F,,c yolk_shallow
FSL 4,Littoral,13/08/2021,dot xanthophores beyond 4,Xanthophore,,,F,,c yolk_shallow
FSL 4,Littoral,13/08/2021,iridophores at 7,Iridophores,06/09/2021,24,F,,c yolk_shallow
FSL 4,Littoral,13/08/2021,iridophores at next (temp) aggregation,Iridophores,22/08/2021,9,F,,c yolk_shallow
FSL 4,Littoral,13/08/2021,iridophores at site of end second aggregation ,Iridophores,17/09/2021,35,F,,c yolk_shallow
FSL 4,Littoral,13/08/2021,associations end second aggregation,Iridophores,21/09/2021,39,F,,c yolk_shallow
FSL 4,Littoral,13/08/2021,iridophores aggregate at end second aggregation ,Iridophores,21/09/2021,39,F,,c yolk_shallow
FSL 4,Littoral,13/08/2021,dot xanthophores accumulate at site of end second aggregation,Xanthophore,17/09/2021,35,F,,c yolk_shallow
FSL 5,Littoral,13/08/2021,xanthophores in fin,Xanthophore,13/08/2021,0,M,,c yolk_shallow
FSL 5,Littoral,13/08/2021,iridophores in fin,Iridophores,13/08/2021,0,M,,c yolk_shallow
FSL 5,Littoral,13/08/2021,iridophores 4-5,Iridophores,16/08/2021,3,M,,c yolk_shallow
FSL 5,Littoral,13/08/2021,associations 3-5,Iridophores,01/09/2021,19,M,,c yolk_shallow
FSL 5,Littoral,13/08/2021,iridophores aggregate 3-5,Iridophores,06/09/2021,24,M,,c yolk_shallow
FSL 5,Littoral,13/08/2021,iridophores 5-6,Iridophores,,,M,,c yolk_shallow
FSL 5,Littoral,13/08/2021,dot xanthophores beyond 4,Xanthophore,,,M,,c yolk_shallow
FSL 5,Littoral,13/08/2021,iridophores at 7,Iridophores,27/08/2021,14,M,,c yolk_shallow
FSL 5,Littoral,13/08/2021,iridophores at next (temp) aggregation,Iridophores,01/09/2021,19,M,,c yolk_shallow
FSL 5,Littoral,13/08/2021,iridophores at site of end second aggregation ,Iridophores,06/09/2021,24,M,,c yolk_shallow
FSL 5,Littoral,13/08/2021,associations end second aggregation,Iridophores,17/09/2021,35,M,,c yolk_shallow
FSL 5,Littoral,13/08/2021,iridophores aggregate at end second aggregation ,Iridophores,17/09/2021,35,M,,c yolk_shallow
FSL 5,Littoral,13/08/2021,dot xanthophores accumulate at site of end second aggregation,Xanthophore,11/09/2021,29,M,,c yolk_shallow
FSL 6,Littoral,13/08/2021,xanthophores in fin,Xanthophore,13/08/2021,0,F,,c yolk_shallow
FSL 6,Littoral,13/08/2021,iridophores in fin,Iridophores,16/08/2021,3,F,,c yolk_shallow
FSL 6,Littoral,13/08/2021,iridophores 4-5,Iridophores,19/08/2021,6,F,,c yolk_shallow
FSL 6,Littoral,13/08/2021,associations 3-5,Iridophores,01/09/2021,19,F,,c yolk_shallow
FSL 6,Littoral,13/08/2021,iridophores aggregate 3-5,Iridophores,11/09/2021,29,F,,c yolk_shallow
FSL 6,Littoral,13/08/2021,iridophores 5-6,Iridophores,,,F,,c yolk_shallow
FSL 6,Littoral,13/08/2021,dot xanthophores beyond 4,Xanthophore,,,F,,c yolk_shallow
FSL 6,Littoral,13/08/2021,iridophores at 7,Iridophores,27/08/2021,14,F,,c yolk_shallow
FSL 6,Littoral,13/08/2021,iridophores at next (temp) aggregation,Iridophores,11/09/2021,29,F,,c yolk_shallow
FSL 6,Littoral,13/08/2021,iridophores at site of end second aggregation ,Iridophores,17/09/2021,35,F,,c yolk_shallow
FSL 6,Littoral,13/08/2021,associations end second aggregation,Iridophores,21/09/2021,39,F,,c yolk_shallow
FSL 6,Littoral,13/08/2021,iridophores aggregate at end second aggregation ,Iridophores,26/09/2021,44,F,,c yolk_shallow
FSL 6,Littoral,13/08/2021,dot xanthophores accumulate at site of end second aggregation,Xanthophore,11/09/2021,29,F,,c yolk_shallow
FSL 7,Littoral,13/08/2021,xanthophores in fin,Xanthophore,13/08/2021,0,M,,c yolk_shallow
FSL 7,Littoral,13/08/2021,iridophores in fin,Iridophores,16/08/2021,3,M,,c yolk_shallow
FSL 7,Littoral,13/08/2021,iridophores 4-5,Iridophores,16/08/2021,3,M,,c yolk_shallow
FSL 7,Littoral,13/08/2021,associations 3-5,Iridophores,06/09/2021,24,M,,c yolk_shallow
FSL 7,Littoral,13/08/2021,iridophores aggregate 3-5,Iridophores,06/09/2021,24,M,,c yolk_shallow
FSL 7,Littoral,13/08/2021,iridophores 5-6,Iridophores,,,M,,c yolk_shallow
FSL 7,Littoral,13/08/2021,dot xanthophores beyond 4,Xanthophore,,,M,,c yolk_shallow
FSL 7,Littoral,13/08/2021,iridophores at 7,Iridophores,,,M,,c yolk_shallow
FSL 7,Littoral,13/08/2021,iridophores at next (temp) aggregation,Iridophores,27/08/2021,14,M,,c yolk_shallow
FSL 7,Littoral,13/08/2021,iridophores at site of end second aggregation ,Iridophores,01/09/2021,19,M,,c yolk_shallow
FSL 7,Littoral,13/08/2021,associations end second aggregation,Iridophores,11/09/2021,29,M,,c yolk_shallow
FSL 7,Littoral,13/08/2021,iridophores aggregate at end second aggregation ,Iridophores,11/09/2021,29,M,,c yolk_shallow
FSL 7,Littoral,13/08/2021,dot xanthophores accumulate at site of end second aggregation,Xanthophore,,,M,,c yolk_shallow
FSL 8,Littoral,13/08/2021,xanthophores in fin,Xanthophore,13/08/2021,0,F,,c yolk_shallow
FSL 8,Littoral,13/08/2021,iridophores in fin,Iridophores,16/08/2021,3,F,,c yolk_shallow
FSL 8,Littoral,13/08/2021,iridophores 4-5,Iridophores,22/08/2021,9,F,,c yolk_shallow
FSL 8,Littoral,13/08/2021,associations 3-5,Iridophores,06/09/2021,24,F,,c yolk_shallow
FSL 8,Littoral,13/08/2021,iridophores aggregate 3-5,Iridophores,26/09/2021,44,F,,c yolk_shallow
FSL 8,Littoral,13/08/2021,iridophores 5-6,Iridophores,,,F,,c yolk_shallow
FSL 8,Littoral,13/08/2021,dot xanthophores beyond 4,Xanthophore,,,F,,c yolk_shallow
FSL 8,Littoral,13/08/2021,iridophores at 7,Iridophores,26/09/2021,44,F,,c yolk_shallow
FSL 8,Littoral,13/08/2021,iridophores at next (temp) aggregation,Iridophores,,,F,,c yolk_shallow
FSL 8,Littoral,13/08/2021,iridophores at site of end second aggregation ,Iridophores,,,F,,c yolk_shallow
FSL 8,Littoral,13/08/2021,associations end second aggregation,Iridophores,,,F,,c yolk_shallow
FSL 8,Littoral,13/08/2021,iridophores aggregate at end second aggregation ,Iridophores,,,F,,c yolk_shallow
FSL 8,Littoral,13/08/2021,dot xanthophores accumulate at site of end second aggregation,Xanthophore,,,F,,c yolk_shallow
FSB 1,Benthic,20/10/2021,xanthophores in fin,Xanthophore,20/10/2021,0,F,,d yolk_deep
FSB 1,Benthic,20/10/2021,iridophores in fin,Iridophores,20/10/2021,0,F,,d yolk_deep
FSB 1,Benthic,20/10/2021,iridophores 4-5,Iridophores,22/10/2021,2,F,,d yolk_deep
FSB 1,Benthic,20/10/2021,associations 3-5,Iridophores,28/10/2021,8,F,,d yolk_deep
FSB 1,Benthic,20/10/2021,iridophores aggregate 3-5,Iridophores,01/11/2021,12,F,,d yolk_deep
